,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
205,4200,1031.0,120,3,3,1,1,1,0,0,32.40567356380175,15.23699701490716,A
206,6700,1466.978226480104,130,3,3,1,1,0,0,0,33.524205866749334,19.112767705525528,A
207,4500,1100.0,87,2,2,1,1,1,0,0,29.96586380462771,14.511229657479197,D
208,7200,1080.0,131,3,3,1,1,0,0,0,33.524205866749334,19.112767705525528,A
209,4800,550.0,90,2,2,1,1,0,1,0,31.010996311706176,17.639604246052702,A
210,6500,885.0,107,3,3,1,1,0,0,0,35.70183671780869,21.894769921815232,A
211,4500,1100.0,87,2,2,1,1,0,0,0,29.96586380462771,14.511229657479197,D
212,7500,1080.0,131,3,3,1,1,1,0,0,33.524205866749334,19.112767705525528,A
213,4200,1031.0,120,3,2,1,1,0,0,0,32.40567356380175,15.23699701490716,A
214,5500,550.0,90,2,2,1,1,0,1,0,31.010996311706176,17.639604246052702,A
215,4300,600.0,90,2,2,1,1,1,0,0,31.010996311706176,17.639604246052702,A
216,4500,1100.0,87,2,2,1,1,1,0,0,29.96586380462771,14.511229657479197,A
217,6500,1120.7741985623957,92,1,2,1,1,0,0,0,31.010996311706176,17.639604246052702,A
218,8000,1422.5223891150306,116,2,2,1,1,0,1,0,31.98361367873975,16.256562568320263,A
219,21000,3149.654278495153,223,3,2,1,1,0,0,0,45.89479997521935,25.921612333582427,A
220,14000,1644.7811049310108,100,2,2,1,1,0,0,0,35.70183671780869,21.894769921815232,A
221,10000,1139.0563846842374,70,1,2,1,1,0,1,0,29.89023813563203,15.687458326582117,A
222,11000,1463.3136008519807,100,2,2,1,1,0,0,0,35.70183671780869,21.894769921815232,A
223,45000,6535.693330830993,443,4,2,1,1,0,0,0,41.880293863537645,28.60353166508718,A
224,20000,2800.0,250,4,5,4,4,1,0,1,38.18083078314446,16.497500901577165,A
225,6000,1100.0,43,1,2,1,1,0,0,1,36.99486182214457,21.366743561269978,A
226,5500,1120.0,44,1,2,1,1,1,1,0,36.99486182214457,21.366743561269978,A
227,7200,1900.0,62,1,2,1,2,0,1,0,30.058304914488353,15.139146507512537,A
228,4393,1044.0,42,1,2,1,2,0,0,0,36.99486182214457,21.366743561269978,A
229,800,160.0,38,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
230,900,377.5905171313932,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
231,660,240.0,41,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
232,1000,290.0,38,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
233,650,75.0,43,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
234,630,220.0,41,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
235,1000,401.2239704767875,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
236,940,160.0,41,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
237,1100,450.0,57,2,2,1,1,1,1,0,29.32834936571854,14.841037015136015,D
238,1800,325.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
239,1150,350.0,57,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
240,1200,501.2444867958561,58,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
241,900,365.0,58,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
242,900,280.87556614621326,35,1,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
